,job_ref,job_title,location,salary,description,type,extraction_date
0,['62837/KD'],Data Scientist,['London'],£55000 - £65000 per annum + benefits + bonus,"Data ScientistLondon£55,000-£65,000 + benefits + bonusTHIS COMPANY:This fast-growing fintech company is proud of their culture that drives pioneering ideas and revolutionising the way that data science is done in fintech. They are looking for someone to join a team that champions a data-driven approach to all business decisions.THE ROLE:As a Data Scientist, you will be joining an exploratory Data Science team that implements advanced statistical modelling and machine learning techniques. Working with large data sets, building advanced statistical and machine learning models to analyse how customers are using their product and producing insights off the back of this.YOUR SKILLS AND EXPERIENCE:THE BENEFITS:HOW TO APPLY:Please register your interest by sending your CV to Kian Dixon via the Apply link on this page. For more information about similar roles, please get in touch!Working with large data sets and applying advanced predictive modelling and machine learning techniques, in PythonExperimenting and leading your own research into machine learning techniques to create tailored solutions to technical problemsUsing Python for building machine learning models and SQL for data manipulationEffectively delivering technical concepts and insights to non-technical management and stakeholders that will, ultimately, influence critical business decisionsExtensive knowledge and use of Python for machine learning and SQL for manipulating dataProven commercial experience applying commercial and experimental machine learning techniques using PythonThe successful data scientist will have industrial experience using machine learning techniques, in PythonThe ideal candidate will have the ability to communicate heavily technical concepts in an effective way and have experience delivering such to non-technical stakeholders£55,000-£65,000 + benefits + bonusFortnightly meet ups",Permanent,2019-10-23
0,['66176 - SP'],DATA SCIENTIST,['London'],£55000 - £65000 per annum + + Benefits,"DATA SCIENTISTSALARY: Up to £65,000CENTRAL LONDON:Do you have a passion for solving complex problems with data? Are you looking for a new data science role where the work reaches millions of people on a daily basis? Do you like solving important business questions through the use of the latest Data Science techniques? If yes this role could be for you!THE COMPANY: This company is the largest of it's kind in Europe and is home to some of the best loved brands within its industries and is estimated to reach well over 20 million people across the UK alone every week. All of which makes this company an exciting place to work, where you know the work that you do reaches huge numbers of people on a daily basis.THE ROLE: Within this role the main responsibilities will include:YOUR SKILLS AND EXPERIENCES: The main skills and experiences you will need for this role are: THE BENEFITS: The successful application an expect to receive the following:HOW TO APPLY:Please register your interest by sending your CV to Sam Phillips via the apply link on this page.Solving complex problems through the use of the latest data techniques,Focusing on work that drives real value to the business,Using the latest Machine Learning and AI techniques on often unique data sets to help evolve their commercial and product capabilities.Extensive commercial experience as a Data Scientist/ Senior Analyst, in an analytical commercial environment,Proven ability to define analytical requirements and the ability to turn them into effective data models,Proven proficiency with: R, Matlab, and statistical models,Ability to implement SQL in a business environment,Strong Python skills,Strong interpersonal skills and the ability to effectively communicate to both technical and non-technical stakeholders.Experience working with Data Engineering teams and an understanding of data pipelines (preferred but not essential)A base salary of up to: £65,000Strong benefits",Permanent,2019-10-23
0,['VAC - 53029'],Senior Data Science,['London'],£60000 - £75000 per annum + Additional Benefits,"Senior Data ScienceLondon £75,000 The CompanyThis is your opportunity to join a well-established company helping to build your own Data Science team from the ground up. You will be working in a company that is known world-wide, having a once in a life time opportunity to grow and influence Data Science globally. The Role In this role you will join a small, close knit team and see this grow around you- being a vital part of this movement. You will use your specialist knowledge in Machine Learning and Python/R to build innovative solutions and have the chance to learn and progress in new areas. You will:Key Skills and Requirements  HOW TO APPLY Interested? Please register your interest by submitting your CV directly by applying to this advert.Work closely with Cloud based technologies, such as GCP/AWSDevelop advanced analytics algorithms, viewing behaviours on multiple platformsDevelop solutions, create frameworks and engage with multiple different teams across the business to manage customer strategy using Python or RStrengthen and build the Data Science capabilityExpertise in Advanced Analytics: NLP, Forecasting, Predictive Modelling, Clustering etcExperience developing and deploying cloud based solutionsExperience in Deep Learning techniques",Permanent,2019-10-23
0,['67222'],Senior Data Scientist ,['London'],Up to £80000 per annum + Yes,"Senior Data Scientist London, United KingdomSalary £80,000 + Benefits Exciting opportunity looking for ML experts to join a team of Data Scientists applying your own knowledge to solve complex business issues.THE COMPANYA well-established company that focuses on the Customer Needs, through AI, ML, and DL models. This role is a chance to work with a highly innovative company, who are working on projects that look at all areas of Customer behaviour, Customer needs and Customer insights. This company is highly focused on Digital Transformation and how it can be used.THE ROLE This role is a chance to develop your business knowledge and work with huge data sets. You will be working as part of a collaborative team to analyses business and data itself.YOUR SKILLS AND EXPERIENCE SALARY AND BENEFITSHOW TO APPLYUnderstanding customer's needs through AI Delivering complex projects with a commercial approachBuilding and maintain algorithms using MLImplementing a visual and commercial approach within the projectsCome up with innovative approaches to business problems on a daily basisCreating models to analyse interactions Working with a range of data sets on three major projectsExperience developing ML algorithms using Python or RProficient using SQL and NoSQL data basesCollaborating with team members Initiative and willingness to create own ideas PhD in a Machine learning, Computer Vision, or StatisticsSelf-willingness and drive to innovateExperience taking ownership and willingness to lead projectsAbility to understand a number of problems, specifically business problemsExpertise mining large and complex data setsPrior experience with ApacheSpark to deploy projectsConsiderable experience working as a data scientistEarning potential up to £80,000+ a number of benefitsPlease register your interest by sending your CV to Charlotte York via the apply link on this page",Permanent,2019-10-23
0,['VACOIH'],Data Scientist,['London'],£50000 - £60000 per annum,"Data ScientistInsuranceLondon£50,000 - £60,000 + BenefitsTHE COMPANYThis is an opportunity to join a leading UK insurer as a Data Scientist in their London office.The team has grown at a rapid rate over the past 18 months and you will join a team of 25 like-minded individuals. You will work on a range of projects across digital and marketing, using your knowledge of machine learning to help build high-impact products for the business.There is a great team culture, with regular hackathons, meet-ups and learning opportunities to be had. You will also have 1 day per month dedicated solely to personal learning, where you can choose the project and what you want to do!!NB - there is also a great new office based in the heart of London's technology district with a start-up feel to it!THE ROLEAs a Data Scientist you will be:SKILLS AND EXPERTISETo be considered for this position you must have the following:HOW TO APPLYTo be considered for this exciting opportunity, please submit your details using the Apply button on this page. For more information please contact Nick Mandella at Harnham. KEYWORDSR, Python, SQL, Tableau, Machine Learning, SQL, Modelling, Machine Learning, Algorithmic Development, Algorithm, Data Scientist, Data Science, Big Data, Insight, Customer lifetime value models, retention, churn, cross sell, up sell, stakeholder management.Utilising machine learning techniques to deliver insightsDelivering a business critical and high-impact projects for the company from conception through to completionCarrying out existing projects in relation to: customer segmentation, recommender systems, NLP / sentiment analysis and more!1x day every month to work on your own research and projectsHands-on experience with R or Python for machine learningMasters degree or equivalent qualification in a Statistical or numerate degreeExperience in delivering effective insights and influencing stakeholders",Permanent,2019-10-23
0,['676629/DL'],Data Scientist,"['West End, London']",£40000 - £50000 per annum + Benefits,"Data ScientistLondon£40,000-£50,000 + BenefitsLooking for the chance to join an expanding Data team with access to huge amounts of customer data?This e-commerce company within the automotive sector are looking to expand their Data Science team to work on both research and customer analytics projects.THE COMPANY:This company is a well-known name across the industry. With the access to vast amounts of data and personal growth potential it really is an exciting place to be.THE ROLE:You'll be joining a team where your responsibilities will include:YOUR SKILLS AND EXPERIENCE:Desired skills & attributes you should include: THE BENEFITS:HOW TO APPLY:Please register your interest by sending your CV to Dan Lewis via the Apply link on this page.Defining the quantitative element of projectsQuantitative input into the design and testing of prototype conceptsContributing to analytical problem solving and product development approachesDevelop your own Data Science skills alongside working commerciallyExperience working in a commercial environmentExceptional communication skillsTechnical Data Science skillsMSc or PhD from in a STEM disciplineCompetitive Salary + BonusHuge growth potentialGreat working culture and staff retention",Permanent,2019-10-23
0,['VWQNFrur03RM'],Research Scientist,['Hertfordshire'],£70000 - £80000 per annum + Benefits,"Research ScientistNLPRobotics Company£80,000 + benefitsThe CompanyHarnham are working with a robotics company in Hertfordshire who are looking to hire a number of machine learning researchers and NLP specialists.Here are some key company highlights:The Role - Research Scientist (NLP)You will be:Your Skills and Experience - Research Scientist (NLP)You must have:The Benefits - Research Scientist (NLP)£80,000 + healthcare + pension + many more!How to Apply?Please register your interest by sending your CV via the Apply link on this page. For more information about similar roles, please get in touch with Nick Mandella at Harnham.KeywordsPython, AWS, Spark, Machine Learning, Statistics, Artificial Intelligence, Data Scientist, Data Science, big data, deep learning. NLP, natural language processing, Software Engineering, CI/CD. Company is now valued at over £1bn!!They have grown hugely over the last 5 years, partnering with some industry leadersThey have robotics as part of their operations and logisticsHuge growth plans for the data science and machine learning teamWorld-class team of machine learning specialistsWorking on problems in relation to text and languageWorking on problems in relation to optimising warehouse logistics, deliveries and personalised products for customersWorking as part of a large team of scientists and engineersWorking with the latest tools and technologiesDelivering high-impact algorithms for the businessAn MSc or Ph.D. in Computer Science (preferred), otherwise quantitative disciplineA strong knowledge of machine learning (and/or deep learning)Experience in natural language processing and text analyticsAn interest in production-level / end-to-end problem solving",Permanent,2019-10-23
0,['VACN££$*I'],Quantitative Strategist,['London'],£120000 - £130000 per annum,"Quantitative StrategistMachine Learning / TradingLondon£130,000 + Bonus + BenefitsTHE COMPANY Harnham are working with a global quant trading team on building out a team devoted to machine learning-led (electronic) trading strategies.You will join a team that has a huge impact in the way data is used and analysed within the company; you will maintain a very close working relationship with traders to help the business generate significant revenue; and you will have a strong influence in the use of innovative techniques brought into the team.THE ROLEAs a Quantitative Strategist you will be:SKILLS AND EXPERTISEYou will have:SALARY DETAILS £130,000 + Bonus + BenefitsHOW TO APPLY To be considered for this opportunity, please submit your details using the 'Apply' button on this page. For more information about similar opportunities please contact Nick Mandella at Harnham.KEYWORDSData Scientist, Data Science, Quantitative Strategist, Machine Learning, Deep Learning, Python, financial services, investment, research. Applying advanced machine learning techniques to drive trading decisionsResearching and developing new techniques for the team to utiliseWorking in Python primarily (strong coding/programming necessary)A deep knowledge of machine learningExcellent programming/coding abilities in Python preferredA Ph.D. in a quantitative subject",Permanent,2019-10-23
0,['57168/DM7'],THE COMPANY ,['London'],£40000 - £80000 per annum,"THE COMPANY This organisation has always worked for a purpose - their purpose is to use the power of communications to make the world a better place. At their roots they are a technology company with research and innovation in their bones and a desire to be a personal, simple. and brilliant for their customers.THE ROLE In this role as a Data Scientist you will be:SKILLS AND EXPERIENCETHE BENEFITS HOW TO APPLYPlease register your interest by sending your CV to Daniel Moss via the Apply link on this page Use methodical Data Science techniques to select and tune algorithms and quantify business performance#Tells engaging stories in a non-technical wayUnderstanding, analysing and quantifying data analysis requirements, hand on testingExperimental design and outcomes analysis/reporting Analyse complex behavioural and sensory data statistical modelsStrong commercial Python experienceExperience with Machine Learning & developing modelsStrategic thinking & problem solving skills Passion for Data ScienceUp to £50k SalaryCompetitive bonusCompetitive pension",Permanent,2019-10-23
0,['VACNRM-23923'],Data Scientist,['London'],£65000 - £70000 per annum + Benefits,"Data ScientistBayesian StatisticsCentral London£65,000 - £70,000 + BenefitsTHE COMPANYHarnham are currently working with one of the world's highest-rated tech companies who are looking to continue building their Data Science function. This role will involve working closely with many areas of the business to apply bayesian techniques to their large sets of data to help solve a number of challenging consumer problems.In this team you will have a great exposure to a number of different projects and a variety of data science work - perfect for someone looking to hone their technical skills!THE ROLEAs a Data Scientist you will be:SKILLS AND EXPERTISEYou will be:SALARY DETAILS£65,000 - £70,000 + BenefitsHOW TO APPLYTo be considered for this exciting opportunity, please submit your details using the Apply button on this page.KEYWORDSMachine Learning | Python | Advanced Analytics | Data Science | Analysis | Bayesian Statistics | Statistical Modelling | Probabilistic Modelling | Computational Statistics | Data Analysis | Hidden Markov Models | SQL | Recommendation Systems | Insight | Statistics |Utilising Bayesian methods to infer key insights on complex sets of dataDriving improvements in digital marketing activities with key affiliatesCarrying out new R&D/greenfield projectsWorking as part of a team of 12 Data Scientists!A strong user of Python and experience in bayesian methodologies.A strong communicator with the ability to convey technical work to non-technical audiencesEducated to MSc or ideally Ph.D. level in a quantitative subject such as Mathematics, Statistics or Sciences.",Permanent,2019-10-23
